language,tokenizer,oov_piece_rate,avg_fertility,avg_chars_per_token,avg_word_coverage
Amharic,bpe,0.0,2.1901271651228393,2.129440469533966,1.0
Amharic,unigram,0.0,2.2746478807131467,2.0604554568458817,1.0
Amharic,word,0.32841624490803606,1.0,4.332610384778395,0.6644624076135554
English,bpe,0.0,1.5362047629447664,3.589604685155213,1.0
English,unigram,0.0,1.529231396344255,3.671929494811235,1.0
English,word,0.14077980973036922,1.0,5.159582560499738,0.8498118636346078
Swahili,bpe,0.0,1.635677829870405,3.958039481368994,1.0
Swahili,unigram,0.0,1.7397215919800713,3.7702244922713444,1.0
Swahili,word,0.17373662855035044,1.0,6.0093524315549995,0.8126921525167542
Turkish,bpe,0.0,2.033884671557592,3.4218491741755153,1.0
Turkish,unigram,0.0,1.9648803527239187,3.6346312170440913,1.0
Turkish,word,0.3084804345142575,1.0,6.435110364392871,0.6859347650637357
